;-----The format of this flat file database is as follows:
;-----[object ID name],[full HTML source description (commas re-folded appropriately)][new line]
ClientConnectCheckBox,This checkbox controls the logging of details about client connections and disconnections made to the DNAS server e.g. how long a client was connected when it disconnects. If disabled then the information about connected clients is still available via the DNAS administation pages.
prigenre,Select the primary genre applicable to the format of your station/stream. This will provide a secondary genre to choose (if available) allowing for fine tuning where you station/stream is listed in the SHOUTcast Directory.<br/><br/>If a secondary genre is not selected or is not available then the primary genre is the one used.
subgenres,Select the secondary genre applicable to the format of your station/stream to have it listed in a smaller group on the SHOUTcast Directory whilst still being searchable via the primary genre.<br/><br/>If a secondary genre is not selected or is not available then the primary genre is the one used.
HideStatsCheckBox,Specify if the publically accessible <b>stats?sid=#</b> page can be accessed or if it is only available via the private administration pages (<b>admin.cgi?sid=#&mode=viewxml&page=1</b>).
ConfigSelect,Choose the configuration file you want to preview before saving or when saving fails.
SCServLinesTextArea,Preview of the DNAS configuration file.
SCTransLinesTextArea,Preview of the Transcoder configuration file.
SCCalendarLinesTextArea,Preview of the Calendar XML configuration file as used by the Transcoder for events setup.
DownloadSCServButton,Saves the DNAS configuration file.
DownloadSCTransButton,Saves the Transcoder configuration file.
DownloadCalendarButton,Saves the Calendar XML configuration file as used by the Transcoder for events setup.
